Тема письма,Ключевые слова (фишинг),Фишинг по ML,Проверка DKIM,Проверка SPF,IP отправителя,Ссылки,Уровень риска
Добавлен номер телефона +7 (988) 137-**-** в аккаунте,False,False,False,False,188.93.63.64,"https://account.mail.ru/security/password?open-change-password=1&utm_medium=ltr, https://id.mail.ru/contacts?utm_source=web&utm_medium=ltr&utm_campaign=security, https://security.mail.ru/, https://help.mail.ru/legal/terms/mail, https://help.mail.ru/, https://id.mail.ru/",4
Первое письмо на почте,False,False,False,False,178.22.89.175,"https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_1&utm_term=logo_1, https://e.mail.ru/settings/collector/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_1, https://mail.ru/?settings=1&utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_1Расставить, https://mail.ru/?settings=1&utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_1, https://id.vk.com/account/#/security, https://cloud.mail.ru/promo/quota/?action=request-payment&amp%3BproductId=W128G1m_welcome_2022_single_quota_cloud&utm_campaign=welcome_email_new_1, https://blog.mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_1, https://vk.com/mailru, https://ok.ru/emailru, https://trk.mail.ru/c/ohhqm9, https://trk.mail.ru/c/ihohko7, https://trk.mail.ru/c/ihohko7, https://help.mail.ru/legal/terms/mail/ua/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_1, https://e.mail.ru/mailer/subscriptions?unsubscribe_jwt_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsZXR0ZXJfaWQiOjI3MzcyLCJ0ZXN0aW5nIjowLCJwb3N0X3R5cGUiOiJDIiwiZW1haWwiOiJteWNvbXBhbnk5OUBtYWlsLnJ1IiwicG9zdF9pZCI6MjI0LCJzZW5kX3V1aWQiOiJkNzU2OWQxZC01MzlkLTRkZTItOTllMC04ZDJmMjUwNDkwYzMiLCJsYW5ndWFnZSI6InJ1In0.IkxJtS001vP_q9ly0sG4Bq9h5uPWU0_8K7ZIwUziNE0, https://help.mail.ru/mail/?utm_source=trigger&utm_medium=email&utm_campaign=welcome1, https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_1&utm_term=logo_2",12
Изменён пароль в аккаунте,False,False,False,False,188.93.63.114,"https://account.mail.ru/recovery?utm_medium=ltr, https://security.mail.ru/, https://help.mail.ru/legal/terms/mail, https://help.mail.ru/, https://id.mail.ru/",2
Срочное подтверждение аккаунта,True,True,False,False,,http://fake-verify-link.com,9
Обновление системы безопасности,True,True,False,False,,http://fake-security-update.com,9
Срочно! Обновление пароля корпоративной почты,True,True,False,False,,http://secure-company-login.com,9
Новый регламент по отчетности – ознакомьтесь до конца недели,False,True,False,False,,http://company-docs.com/report.pdf,7
Запрос на подтверждение реквизитов для оплаты,True,True,False,False,,http://secure-payment-confirm.com,9
Внутреннее уведомление о проверке безопасности,True,True,False,False,,http://security-check.company.com,9
К почте — вам Облако,False,False,False,False,178.22.89.175,"https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_cloud&utm_term=logo_1, https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_cloud&utm_term=logo_1, https://trk.mail.ru/c/zepvh2, https://trk.mail.ru/c/zepvh2, https://trk.mail.ru/c/zepvh2, https://trk.mail.ru/c/zepvh2, https://blog.mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_cloud&utm_term=blog, https://vk.com/e_mail_ru, https://ok.ru/emailru, https://vk.com/e_mail_ru, https://ok.ru/emailru, https://trk.mail.ru/c/ohhqm9, https://trk.mail.ru/c/ohhqm9, https://trk.mail.ru/c/ihohko7, https://trk.mail.ru/c/ihohko7, https://trk.mail.ru/c/ihohko7, https://trk.mail.ru/c/ihohko7, https://help.mail.ru/legal/terms/common/ua/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_cloud&utm_term=terms, https://e.mail.ru/mailer/subscriptions?unsubscribe_jwt_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsZXR0ZXJfaWQiOjMwNDQzLCJ0ZXN0aW5nIjowLCJwb3N0X3R5cGUiOiJDIiwiZW1haWwiOiJteWNvbXBhbnk5OUBtYWlsLnJ1IiwicG9zdF9pZCI6MjI0LCJzZW5kX3V1aWQiOiI1M2Y1ZGZhYy03YzIxLTRhYjAtODUzNS1jOTQzODczNThhZmIiLCJsYW5ndWFnZSI6InJ1In0.5D1HcsvS4DpjPppMhFWn8_eCgL4usewG8uwsWJhcP74, https://help.mail.ru/mail?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_cloud&utm_term=help, https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_cloud&utm_term=logo_2, https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_cloud&utm_term=logo_2",10
4 неочевидных функций,False,False,False,False,188.93.63.64,"https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_3&utm_term=logo_1, http://wallet.mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_3, https://trk.mail.ru/c/x2mfb9, https://trk.mail.ru/c/u2kt11Сохранить, https://trk.mail.ru/c/u2kt11, https://trk.mail.ru/c/tlx707, https://blog.mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_3, https://vk.com/mailru, https://ok.ru/emailru, https://trk.mail.ru/c/ohhqm9, https://trk.mail.ru/c/ihohko7, https://trk.mail.ru/c/ihohko7, https://help.mail.ru/legal/terms/mail/ua/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_3, https://e.mail.ru/mailer/subscriptions?unsubscribe_jwt_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsZXR0ZXJfaWQiOjI3Mzc0LCJ0ZXN0aW5nIjowLCJwb3N0X3R5cGUiOiJDIiwiZW1haWwiOiJteWNvbXBhbnk5OUBtYWlsLnJ1IiwicG9zdF9pZCI6MjI0LCJzZW5kX3V1aWQiOiI1ZDEyYjZmMC0zZmYxLTQyZjktYTc4Ny1mODQxNzY0Y2YwNWEiLCJsYW5ndWFnZSI6InJ1In0.Blj7pHIqletXn1Il5BBoS8EwZ27oe2lASywsw4rB_1I, https://help.mail.ru/mail/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_3, https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_3&utm_term=logo_2",11
Про безопасность данных,True,False,False,False,178.22.89.175,"https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4&utm_term=logo_1, https://e.mail.ru/settings/aliases/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4, https://e.mail.ru/settings/actions/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4, https://security.mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4#security, https://blog.mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4, https://vk.com/mailru, https://ok.ru/emailru, https://trk.mail.ru/c/ohhqm9, https://trk.mail.ru/c/ihohko7, https://trk.mail.ru/c/ihohko7, https://help.mail.ru/legal/terms/mail/ua/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4., https://e.mail.ru/mailer/subscriptions?unsubscribe_jwt_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsZXR0ZXJfaWQiOjI3Mzc2LCJ0ZXN0aW5nIjowLCJwb3N0X3R5cGUiOiJDIiwiZW1haWwiOiJteWNvbXBhbnk5OUBtYWlsLnJ1IiwicG9zdF9pZCI6MjI0LCJzZW5kX3V1aWQiOiJlZGEwNmNmNi00NDZjLTQ1YTUtYjRlOC1mYTE4YWE3ZDU3NWEiLCJsYW5ndWFnZSI6InJ1In0.1YGCuvTgRLkiLiPmy_vz96X8YKtEbwlni5937V7by8U, https://help.mail.ru/mail/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4, https://mail.ru/?utm_source=gmailer_mkt&utm_medium=email&utm_campaign=welcome_email_new_4&utm_term=logo_2",13
