text,label
"Уважаемый сотрудник, для повышения безопасности вашей учетной записи, пожалуйста, обновите пароль по ссылке http://secure-update.company",1
"Здравствуйте, во вложении новый регламент по отчетности. Просьба ознакомиться до конца недели.",0
"Ваша учетная запись будет заблокирована, если вы не подтвердите данные здесь: http://confirm.company",1
"Добрый день, прикреплены документы на подпись. Просим утвердить до пятницы.",0
"Срочно! Необходима проверка реквизитов для оплаты. Пожалуйста, перейдите по ссылке и заполните форму http://payment-confirm.company",1
"Приглашаем вас на корпоративное мероприятие. Регистрация по ссылке http://event-registration.company",0
"Коллега, технический отдел требует срочного подтверждения пароля. Перейдите по ссылке http://security-check.company",1
"Новый внутренний отчёт за месяц во вложении.",0
"Ваша учётная запись временно заблокирована. Для восстановления доступа пройдите по ссылке http://restore-access.company",1
"Напоминаем о необходимости заполнить форму оценки за квартал во вложении.",0
"Пожалуйста, подтвердите изменение настроек безопасности по следующей ссылке: http://security-update.company",1
"В приложении обновлённая инструкция по работе с новым ПО.",0
"Для корректной работы вашей учётной записи выполните аутентификацию: http://auth.company",1
"Ваш отчёт за прошлый месяц готов и доступен на портале.",0
"Требуется подтвердить банковские реквизиты для выплаты заработной платы: http://payment-info.company",1
"Напоминаем, что сегодня состоится еженедельное совещание отдела.",0
"Администрация требует подтвердить личные данные по ссылке: http://admin-confirm.company",1
"Отдел кадров просит заполнить анкету для обновления личной информации.",0
"Для продолжения работы с корпоративной почтой необходимо изменить пароль: http://change-password.company",1
"Обновлены внутренние положения компании, ознакомьтесь с ними во вложении.",0
"Безопасность вашей учётной записи под угрозой, подтвердите данные здесь: http://security-alert.company",1
"Напоминаем о необходимости прохождения обучения по информационной безопасности.",0
"Административное предупреждение: ваша почта будет заблокирована без обновления данных: http://update-info.company",1
"Новое письмо от руководства — ознакомьтесь с приложением.",0
"Пожалуйста, подтвердите участие в предстоящем корпоративном мероприятии.",0
"Для получения дополнительной информации по безопасности пройдите по ссылке: http://info-sec.company",1
"Приглашаем участвовать в опросе удовлетворённости сотрудников.",0
"Ваш аккаунт временно заморожен, подтвердите личность: http://account-verify.company",1
"Пересмотрите бюджет на следующий квартал во вложении.",0
